X Y
495.095 363.5835 
495.0555 363.6323 
494.8334 364.8047 
495.5757 366.3741 
495.7836 368.1481 
497.1813 368.3228 
496.9736 368.6776 
496.8331 368.8024 
497.6411 369.1387 
497.4499 368.834 
498.3275 369.0655 
498.1249 368.7189 
498.2056 368.4599 
498.078 368.5992 
498.1989 369.0221 
497.7667 368.5881 
497.9093 368.4828 
497.2947 367.4011 
496.7468 365.2908 
497.6095 362.2037 
497.9643 359.5484 
498.397 355.9657 
496.7186 353.3822 
494.8455 351.0068 
493.7534 350.1955 
492.7432 350.0634 
491.5069 349.7931 
490.3423 348.3944 
488.3507 346.9424 
488.2864 343.8459 
487.9266 340.0421 
486.9611 336.3858 
485.4901 331.9336 
484.6536 326.9077 
484.12 321.6478 
483.296 316.246 
482.5858 310.0769 
480.9157 302.9148 
479.7266 296.5193 
479.4608 290.8777 
479.4754 285.2926 
480.0782 280.0473 
480.5682 275.5032 
481.1524 270.8513 
481.573 265.3308 
481.5529 260.3418 
482.0974 255.8956 
481.7246 250.896 
480.407 245.6326 
479.0474 240.5804 
478.3506 234.3018 
477.2747 227.2667 
476.0164 220.3221 
474.8076 213.13 
473.2061 205.1057 
471.7082 197.599 
470.4418 190.7466 
468.935 184.0473 
467.6155 178.1289 
466.9964 172.7062 
466.5929 167.2876 
465.724 161.4405 
465.6548 156.2016 
465.3721 152.0053 
465.503 146.8594 
465.3737 141.9091 
464.4617 137.3627 
463.5166 133.1432 
461.7056 129.3695 
460.3792 125.6139 
459.2991 123.129 
457.8011 121.7585 
457.1856 121.1172 
457.4597 120.484 
456.163 119.9005 
455.8758 120.1049 
456.5573 119.9946 
456.3622 119.829 
455.4453 118.8427 
455.6479 118.2974 
455.3833 117.9776 
456.0139 118.6016 
456.1201 118.8937 
455.7534 119.2329 
455.4434 119.0024 
454.5722 119.1651 
451.8009 117.4918 
448.0886 115.0357 
442.9491 114.0959 
436.3108 112.6792 
430.2739 110.6763 
423.5025 107.6725 
416.0057 105.0494 
409.2328 101.5045 
402.4128 96.91943 
394.9871 93.27478 
387.7593 91.82024 
381.6851 91.53938 
375.7083 92.42963 
371.124 92.79736 
368.1502 91.57672 
364.5417 89.20701 
361.8063 86.94498 
359.1521 85.1235 
355.9135 81.48175 
350.9598 79.4556 
347.7657 77.55481 
343.8629 75.96568 
343.1444 79.49201 
337.9934 78.51837 
334.4804 76.29668 
329.4484 74.05959 
325.4783 73.47893 
321.6693 72.21187 
318.2701 70.51864 
316.9331 71.18356 
315.9833 71.74258 
313.7093 72.46603 
309.4938 72.52639 
305.2169 74.15317 
300.0072 74.71033 
295.2914 75.00131 
293.6031 77.84168 
