X Y
491.9041 229.6218 
492.0898 229.5498 
492.0491 229.5624 
492.0664 229.6914 
491.9814 229.7806 
492.2565 229.4186 
492.4566 229.2222 
492.3832 229.2725 
492.321 229.4013 
492.6203 229.1554 
492.527 229.2073 
492.9118 228.7417 
493.0914 228.624 
493.1824 228.5299 
493.6511 228.13 
493.6057 228.1063 
493.5938 228.1161 
493.5198 228.0851 
493.5948 228.069 
493.5474 228.0987 
493.641 228.0478 
493.8163 227.9285 
493.8393 227.901 
493.829 227.8672 
493.8833 227.8448 
493.8898 227.8433 
493.8365 227.8492 
493.8591 227.8502 
493.8554 227.8162 
493.8902 227.7645 
493.8659 227.7653 
492.7205 228.553 
485.3289 233.0103 
480.276 228.7829 
482.0726 217.7573 
486.453 217.3411 
487.3278 218.5074 
487.1072 218.9723 
486.3576 218.8191 
488.9743 216.5491 
487.7409 215.3208 
486.3849 214.1875 
485.8391 213.761 
484.1763 215.0063 
482.2077 214.6203 
481.8882 214.0397 
482.2258 212.5035 
482.9963 209.8443 
484.2029 207.3195 
485.8257 205.9281 
490.519 203.0144 
492.1465 201.8553 
487.8959 205.3081 
480.3788 206.4104 
475.8308 206.4016 
472.283 205.3551 
465.6331 207.3611 
453.1774 214.4363 
452.573 220.094 
454.769 218.9772 
456.743 218.7179 
459.5277 217.826 
461.4833 213.9831 
464.463 209.9982 
468.7433 212.9606 
473.2632 215.504 
475.5045 217.0387 
474.5781 219.7154 
473.3085 223.5123 
472.6001 223.52 
473.3267 221.8017 
478.9813 219.2125 
477.4881 222.4935 
473.2565 228.2411 
470.218 232.3875 
467.1564 235.2928 
467.0987 232.7572 
467.1761 229.9061 
467.9632 225.9825 
467.387 224.2642 
468.448 220.5627 
466.5215 216.593 
460.2002 215.9798 
456.5764 214.2081 
458.5357 204.8569 
463.4474 192.7625 
466.9541 181.2363 
470.0071 169.5114 
474.8767 156.9918 
481.766 144.1007 
485.2839 133.1814 
488.2101 123.6097 
491.0005 116.9125 
493.997 109.5926 
495.4878 104.4661 
498.2666 99.07974 
500.2245 93.99081 
501.7541 88.07898 
502.799 83.63114 
504.4532 79.95272 
507.0117 75.59702 
509.3404 71.70017 
510.5886 68.95557 
511.2083 68.98301 
512.3901 67.80286 
512.2748 68.25083 
509.6685 71.99644 
507.0943 75.50992 
504.9713 79.01687 
501.5214 83.60276 
497.043 90.32539 
490.9967 100.1401 
484.796 112.9097 
480.0288 126.4173 
475.4981 140.1398 
470.6845 151.352 
466.2375 159.8523 
462.6918 167.6923 
459.9141 174.9825 
457.1902 181.9064 
455.2555 187.8743 
454.0728 194.0967 
453.3616 200.7001 
453.5098 207.5696 
453.7683 214.2674 
453.5289 219.5884 
453.3792 225.1366 
452.9083 230.428 
452.5 236.0943 
452.2195 242.1407 
452.4588 249.7847 
453.35 257.4197 
454.4308 264.6831 
455.6913 271.6953 
456.6415 278.0624 
457.6043 283.4671 
458.3317 288.0726 
458.9051 291.7131 
459.7529 295.6621 
460.4547 299.6843 
461.4889 302.8733 
462.8882 305.556 
464.9327 307.3179 
467.4618 307.9182 
470.2053 308.4785 
474.5154 310.619 
478.7257 313.7701 
478.8156 313.5223 
480.353 316.0306 
483.2769 320.6138 
484.4634 323.4442 
487.0518 326.2404 
489.3197 328.6542 
491.6482 329.5454 
492.4858 329.6363 
494.2971 331.4334 
497.1667 334.4452 
499.1381 338.0407 
500.9498 342.2177 
500.6418 346.7913 
502.1848 348.0402 
504.0291 348.4833 
504.7298 349.8303 
504.6127 349.898 
504.6557 351.5969 
505.1633 352.0397 
504.5838 351.0689 
504.334 350.8662 
505.2707 349.6174 
504.2822 349.5543 
504.8963 349.955 
504.6721 350.0643 
505.1509 351.2728 
505.1085 352.5722 
505.685 354.4306 
505.1998 358.8149 
505.5202 361.4403 
505.3876 364.7216 
505.4962 367.9822 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
510.6756 366.1195 
511.0456 364.5857 
511.1716 362.4934 
512.0284 360.9508 
511.8654 359.7583 
512.5273 358.5747 
512.9376 356.8101 
513.1326 355.0759 
512.6347 354.4982 
514.0103 352.3605 
514.294 352.3854 
514.0409 352.3693 
513.692 352.0399 
512.1104 352.7017 
511.363 352.8243 
510.2749 352.1336 
509.1675 351.1106 
508.3588 350.9286 
507.3766 351.416 
506.2034 351.2059 
505.2557 350.656 
505.3426 350.1271 
504.1385 348.9279 
503.381 348.0537 
502.9706 346.5473 
501.4965 344.3672 
499.8583 343.908 
498.9781 343.7718 
497.5194 342.8637 
495.8159 343.0909 
494.2723 344.0413 
493.8189 345.4782 
493.5406 348.5034 
492.8148 351.826 
492.6313 354.9353 
492.5102 357.0528 
491.9394 358.4429 
491.1675 358.9861 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
486.3284 365.4554 
486.1202 365.4862 
486.0874 365.45 
486.1912 365.432 
486.172 365.447 
485.8023 364.9989 
