X Y
330.1794 72.19758 
320.2131 73.30826 
310.9301 77.73348 
305.9873 81.74501 
299.1953 87.68106 
292.9698 95.03922 
288.1597 102.6548 
281.8213 112.5082 
276.9003 123.6644 
273.0481 134.2548 
263.6659 149.1185 
256.505 162.3833 
241.0066 185.9124 
240.7618 192.3909 
240.3392 204.184 
235.7535 220.6247 
236.7257 235.621 
236.9855 246.9575 
234.3087 256.7075 
234.7217 267.1907 
234.6124 275.9996 
230.8729 285.5225 
228.4554 294.0574 
225.5434 298.5434 
225.3252 302.7483 
221.0759 307.6263 
220.7826 310.4493 
222.2746 313.1577 
221.6238 315.3861 
221.5522 318.0661 
220.9716 319.7918 
220.8405 320.7399 
220.847 321.0652 
221.7988 322.0239 
222.1538 323.067 
223.6728 323.0676 
226.4384 321.1059 
229.5354 319.2625 
230.834 316.1669 
234.4637 311.6797 
236.105 303.0834 
239.66 294.7775 
242.6055 284.4944 
242.7688 273.7148 
244.1261 263.7194 
241.8814 253.5921 
240.3047 243.1241 
239.0791 232.963 
241.1582 222.3206 
239.6241 214.1129 
237.4237 205.4715 
236.9531 197.6471 
234.6469 190.4062 
233.1591 182.2976 
229.1659 172.9178 
223.9066 166.2852 
223.9917 156.3006 
221.6208 149.723 
221.5764 143.3207 
223.5114 136.1643 
222.698 129.8944 
221.2553 123.791 
221.6235 117.4398 
222.221 112.4511 
223.4059 107.5117 
226.17 101.7708 
229.7734 95.97381 
231.7935 91.89949 
230.0948 90.13842 
231.7302 86.14653 
233.164 82.87636 
232.6616 82.41649 
231.3693 82.31174 
232.4928 80.07114 
233.4295 78.78772 
232.257 80.94261 
233.8835 76.68608 
235.6294 74.91615 
238.0927 73.229 
239.681 72.82758 
241.9154 74.42149 
242.6563 78.53467 
245.9454 81.70116 
249.0313 88.29768 
257.2974 92.17932 
262.6758 99.7689 
264.4024 110.43 
267.4328 119.967 
274.5199 127.0635 
276.7511 134.8718 
278.5968 144.3446 
281.4593 153.4014 
283.7397 161.1633 
284.6795 168.6956 
287.095 177.4023 
286.3691 186.5915 
287.3629 194.1433 
289.3997 203.6035 
286.5969 211.4369 
285.939 219.3482 
284.511 225.0549 
281.9624 232.0276 
280.5412 238.0262 
281.5141 243.3903 
281.027 248.0343 
281.6235 251.6193 
282.9182 254.7834 
284.4684 258.5786 
285.3507 261.5497 
287.5112 264.9761 
