"animal","X","Y","frameID","quadrant"
"blue",533.5599,380.2727,179,2
"blue",533.5599,380.21145,180,2
"blue",533.5578,380.19985,181,2
"blue",533.55475,380.185,182,2
"blue",533.53845,380.17365,183,2
"blue",533.5232,380.17365,184,2
"blue",533.5168,380.17125,185,2
"blue",533.51145,380.17125,186,2
"blue",533.5062,380.185,187,2
"blue",533.49775,380.185,188,2
"blue",533.48895,380.1932,189,2
"blue",533.48895,380.20185,190,2
"blue",533.48895,380.21145,191,2
"blue",533.48895,380.2277,192,2
"blue",533.48895,380.2476,193,2
"blue",533.49775,380.26845,194,2
"blue",533.49775,380.26845,195,2
"blue",533.49775,380.26845,196,2
"blue",533.48895,380.26845,197,2
"blue",533.47695,380.26845,198,2
"blue",533.46205,380.26845,199,2
"blue",533.46205,380.26845,200,2
"blue",533.45135,380.2476,201,2
"blue",533.44745,380.2476,202,2
"blue",533.44655,380.2476,203,2
"blue",533.44455,380.2476,204,2
"blue",533.4411,380.22745,205,2
"blue",533.4343,380.21305,206,2
"blue",533.4195,380.2037,207,2
"blue",533.4195,380.1871,208,2
"blue",533.4195,380.1741,209,2
"blue",533.4195,380.16645,210,2
"blue",533.4195,380.16005,211,2
"blue",533.3902,380.13555,212,2
"blue",533.35885,380.0992,213,2
"blue",533.33775,380.07745,214,2
"blue",533.3169,380.05465,215,2
"blue",533.30545,380.038,216,2
"blue",533.30325,380.0373,217,2
"blue",533.29905,380.0365,218,2
"blue",533.28615,380.03485,219,2
"blue",533.27305,380.0325,220,2
"blue",533.2698,380.03155,221,2
"blue",533.2687,380.02955,222,2
"blue",533.2645,380.0204,223,2
"blue",533.25455,380.01305,224,2
"blue",533.2364,380.0105,225,2
"blue",533.22125,380.0002,226,2
"blue",533.21075,379.9909,227,2
"blue",533.1907,379.97655,228,2
"blue",533.17175,379.95145,229,2
"blue",533.16125,379.9385,230,2
"blue",533.15475,379.92745,231,2
"blue",533.1469,379.90695,232,2
"blue",533.13955,379.88895,233,2
"blue",533.13405,379.86,234,2
"blue",533.10945,379.8202,235,2
"blue",533.07965,379.7929,236,2
"blue",533.05475,379.78255,237,2
"blue",533.03615,379.78255,238,2
"blue",533.02205,379.78255,239,2
"blue",533,379.7741,240,2
"blue",532.92155,379.75765,241,2
"blue",532.84905,379.7408,242,2
"blue",532.84125,379.71875,243,2
"blue",532.81895,379.6922,244,2
"blue",532.7955,379.64695,245,2
"blue",532.76175,379.61,246,2
"blue",532.7236,379.57875,247,2
"blue",532.6908,379.5464,248,2
"blue",532.653,379.5351,249,2
"blue",532.63895,379.52425,250,2
"blue",532.6369,379.51925,251,2
"blue",532.6333,379.4954,252,2
"blue",532.627,379.4284,253,2
"blue",532.60645,379.18795,254,2
"blue",531.9729,378.76505,255,2
"blue",530.97385,378.3249,256,2
"blue",529.4525,377.84985,257,2
"blue",527.38595,377.56695,258,2
"blue",525.82555,377.491,259,2
"blue",524.3891,377.33695,260,2
